Bairro,Data
ALTO BRANCO,4/5/2020
ALTO BRANCO,18/4/2020
Altiplano Cabo Branco,29/7/2020
CATOLE,9/6/2020
CATOLE,10/6/2020
CATOLE,4/8/2020
CATOLE,16/7/2020
CATOLE,15/6/2020
DINAMERICA ,13/7/2020
ITINGA,15/6/2020
JARDIM TAVARES,10/8/2020
JARDIM PAULISTANO,8/6/2020
JARDIM PAULISTANO,1/7/2020
JARDIM TAVARES,27/7/2020
JOSE PINHEIRO,4/6/2020
MALVINAS,15/6/2020
MIRANTE,10/6/2020
MIRANTE,6/8/2020
MIRANTE,6/8/2020
MIRANTE,29/7/2020
CRUZEIRO,18/5/2020
NOVA BRASILIA,13/6/2020
PEDREGAL,9/6/2020
PRESIDENTE MEDICI,4/5/2020
PRESIDENTE MEDICI,30/4/2020
SANDRA CAVALCANTE,26/6/2020
SANTO ANTONIO,22/7/2020
SANTA ROSA,2/6/2020
TRES IRMAS,18/6/2020
VELAME,29/6/2020
0,15/5/2020
18 DO FORTE,26/6/2020
290,31/7/2020
TRES IRMAS,16/5/2020
TRES IRMAS,8/6/2020
TRES IRMAS,17/6/2020
TRES IRMAS,24/6/2020
TRES IRMAS,3/8/2020
TRES IRMAS,3/8/2020
TRES IRMAS ,17/6/2020
TRES IRMAS,29/6/2020
349,5/8/2020
A,8/6/2020
ALTO BRANCO,8/7/2020
ACACIO FIGUEIREDO,20/5/2020
ACACIO FIGUEIREDO,22/5/2020
ACACIO FIGUEIREDO,22/5/2020
ACACIO FIGUEIREDO,18/5/2020
ACACIO FIGUEIREDO,6/6/2020
ACACIO FIGUEIREDO,3/6/2020
ACACIO FIGUEIREDO,14/6/2020
ACACIO FIGUEIREDO,12/6/2020
ACACIO FIGUEIREDO,11/6/2020
ACACIO FIGUEIREDO,11/6/2020
ACACIO FIGUEIREDO,11/6/2020
ACACIO FIGUEIREDO,9/6/2020
ACACIO FIGUEIREDO,19/6/2020
ACACIO FIGUEIREDO,17/6/2020
