bairro,data
NOVA BRASILIA,05-05-2020
NOVA BRASILIA,07-05-2020
NOVA BRASILIA,12-05-2020
NOVA BRASILIA,12-05-2020
NOVA BRASILIA,13-05-2020
NOVA BRASILIA,14-05-2020
NOVA BRASILIA,14-05-2020
NOVA BRASILIA,15-05-2020
NOVA BRASILIA,15-05-2020
NOVA BRASILIA,18-05-2020
NOVA BRASILIA,18-05-2020
NOVA BRASILIA,19-05-2020
NOVA BRASILIA,19-05-2020
NOVA BRASILIA,20-05-2020
NOVA BRASILIA,21-05-2020
NOVA BRASILIA,21-05-2020
NOVA BRASILIA,21-05-2020
NOVA BRASILIA,21-05-2020
NOVA BRASILIA,22-05-2020
NOVA BRASILIA,22-05-2020
NOVA BRASILIA,22-05-2020
NOVA BRASILIA,22-05-2020
NOVA BRASILIA,22-05-2020
NOVA BRASILIA,23-05-2020
NOVA BRASILIA,23-05-2020
NOVA BRASILIA,25-05-2020
NOVA BRASILIA,25-05-2020
NOVA BRASILIA,25-05-2020
NOVA BRASILIA,25-05-2020
NOVA BRASILIA,26-05-2020
NOVA BRASILIA,26-05-2020
NOVA BRASILIA,27-05-2020
NOVA BRASILIA,28-05-2020
NOVA BRASILIA,28-05-2020
NOVA BRASILIA,28-05-2020
NOVA BRASILIA,28-05-2020
NOVA BRASILIA,28-05-2020
NOVA BRASILIA,28-05-2020
NOVA BRASILIA,29-05-2020
NOVA BRASILIA,29-05-2020
NOVA BRASILIA,29-05-2020
NOVA BRASILIA,30-05-2020
NOVA BRASILIA,30-05-2020
NOVA BRASILIA,01-06-2020
NOVA BRASILIA,01-06-2020
NOVA BRASILIA,01-06-2020
NOVA BRASILIA,01-06-2020
NOVA BRASILIA,02-06-2020
NOVA BRASILIA,02-06-2020
NOVA BRASILIA,02-06-2020
NOVA BRASILIA,03-06-2020
NOVA BRASILIA,03-06-2020
NOVA BRASILIA,03-06-2020
NOVA BRASILIA,04-06-2020
NOVA BRASILIA,04-06-2020
NOVA BRASILIA,05-06-2020
NOVA BRASILIA,05-06-2020
NOVA BRASILIA,05-06-2020
NOVA BRASILIA,05-06-2020
NOVA BRASILIA,05-06-2020
NOVA BRASILIA,06-06-2020
NOVA BRASILIA,06-06-2020
