bairro,data
PEDREGAL,24-04-2020
PEDREGAL,28-04-2020
PEDREGAL,03-05-2020
PEDREGAL,06-05-2020
PEDREGAL,06-05-2020
PEDREGAL,06-05-2020
PEDREGAL,14-05-2020
PEDREGAL,15-05-2020
PEDREGAL,18-05-2020
PEDREGAL,18-05-2020
PEDREGAL,20-05-2020
PEDREGAL,21-05-2020
PEDREGAL,21-05-2020
PEDREGAL,22-05-2020
PEDREGAL,22-05-2020
PEDREGAL,22-05-2020
PEDREGAL,22-05-2020
PEDREGAL,23-05-2020
PEDREGAL,23-05-2020
PEDREGAL,24-05-2020
PEDREGAL,25-05-2020
PEDREGAL,27-05-2020
PEDREGAL,27-05-2020
PEDREGAL,27-05-2020
PEDREGAL,27-05-2020
PEDREGAL,28-05-2020
PEDREGAL,28-05-2020
PEDREGAL,28-05-2020
PEDREGAL,28-05-2020
PEDREGAL,29-05-2020
PEDREGAL,29-05-2020
PEDREGAL,30-05-2020
PEDREGAL,30-05-2020
PEDREGAL,31-05-2020
PEDREGAL,01-06-2020
PEDREGAL,01-06-2020
PEDREGAL,01-06-2020
PEDREGAL,01-06-2020
PEDREGAL,01-06-2020
PEDREGAL,01-06-2020
PEDREGAL,02-06-2020
PEDREGAL,04-06-2020
PEDREGAL,05-06-2020
PEDREGAL,05-06-2020
PEDREGAL,05-06-2020
PEDREGAL,05-06-2020
PEDREGAL,06-06-2020
PEDREGAL,07-06-2020
PEDREGAL,07-06-2020
PEDREGAL,07-06-2020
PEDREGAL,07-06-2020
PEDREGAL,07-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,08-06-2020
PEDREGAL,09-06-2020
PEDREGAL,09-06-2020
PEDREGAL,10-06-2020
PEDREGAL,10-06-2020
PEDREGAL,10-06-2020
PEDREGAL,10-06-2020
PEDREGAL,10-06-2020
PEDREGAL,10-06-2020
PEDREGAL,10-06-2020
PEDREGAL,10-06-2020
PEDREGAL,11-06-2020
PEDREGAL,11-06-2020
PEDREGAL,11-06-2020
PEDREGAL,12-06-2020
PEDREGAL,12-06-2020
PEDREGAL,12-06-2020
PEDREGAL,12-06-2020
PEDREGAL,13-06-2020
PEDREGAL,14-06-2020
PEDREGAL,14-06-2020
PEDREGAL,15-06-2020
PEDREGAL,16-06-2020
PEDREGAL,17-06-2020
PEDREGAL,17-06-2020
PEDREGAL,17-06-2020
PEDREGAL,18-06-2020
PEDREGAL,18-06-2020
PEDREGAL,18-06-2020
PEDREGAL,19-06-2020
PEDREGAL,19-06-2020
PEDREGAL,19-06-2020
PEDREGAL,19-06-2020
PEDREGAL,22-06-2020
PEDREGAL,22-06-2020
PEDREGAL,22-06-2020
PEDREGAL,23-06-2020
PEDREGAL,23-06-2020
PEDREGAL,23-06-2020
PEDREGAL,23-06-2020
PEDREGAL,24-06-2020
PEDREGAL,24-06-2020
PEDREGAL,24-06-2020
PEDREGAL,24-06-2020
PEDREGAL,24-06-2020
PEDREGAL,24-06-2020
PEDREGAL,24-06-2020
PEDREGAL,25-06-2020
PEDREGAL,25-06-2020
PEDREGAL,25-06-2020
PEDREGAL,26-06-2020
PEDREGAL,29-06-2020
PEDREGAL,29-06-2020
PEDREGAL,29-06-2020
PEDREGAL,30-06-2020
PEDREGAL,30-06-2020
PEDREGAL,30-06-2020
PEDREGAL,01-07-2020
PEDREGAL,01-07-2020
PEDREGAL,01-07-2020
PEDREGAL,01-07-2020
PEDREGAL,01-07-2020
PEDREGAL,01-07-2020
PEDREGAL,01-07-2020
PEDREGAL,02-07-2020
PEDREGAL,02-07-2020
PEDREGAL,02-07-2020
PEDREGAL,02-07-2020
PEDREGAL,02-07-2020
PEDREGAL,02-07-2020
PEDREGAL,02-07-2020
PEDREGAL,03-07-2020
PEDREGAL,06-07-2020
